analysis_set	pattern	sv_type	boundary_class	analysis_type	same_direction	array_n_case	array_n_control	array_n_eff	array_beta	array_se	array_or	array_p_two	array_p_one	array_p_main	array_pooled_beta	array_pooled_se	array_pooled_or	mssng_n_case	mssng_n_control	mssng_n_eff	mssng_beta	mssng_se	mssng_or	mssng_ci_lo	mssng_ci_hi	mssng_p_two	mssng_p_one	ivw_beta_meta	ivw_se_meta	ivw_or_meta	ivw_ci_lo	ivw_ci_hi	ivw_z_meta	ivw_p_two	ivw_p_one_positive	ivw_p_main	ivw_q	ivw_q_p	ivw_i2	formal_meta_supported	secondary_meta_supported	exploratory_meta_signal	negative_control_nominal
SECONDARY_C_sig8_main	C	DEL	hpc_exc_ent	SECONDARY_pattern_c	True	838	3583	2716.63	0.154659	0.287012	1.16726	0.589983	0.294992	0.294992	0.134418	0.275873	1.14387	5955	511	1882.47	0.854757	0.509207	2.3508	0.866503	6.37767	0.0932295	0.0466147	0.323452	0.25003	1.38189	0.846532	2.25582	1.29365	0.195785	0.0978927	0.0978927	1.43454	0.231024	30.2914	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	hpc_inh_cge	SECONDARY_pattern_c	True	838	3583	2716.63	0.388841	0.362579	1.47527	0.283527	0.141763	0.141763	0.384993	0.366409	1.4696	5955	511	1882.47	1.1195	0.695753	3.06331	0.783346	11.9792	0.107607	0.0538036	0.544892	0.321537	1.72442	0.918218	3.23848	1.69465	0.0901423	0.0450711	0.0450711	0.867314	0.3517	0	False	True	False	False
SECONDARY_C_sig8_main	C	DEL	hpc_inh_mge	SECONDARY_pattern_c	False	838	3583	2716.63	-0.116131	0.490111	0.890359	0.812697	0.593652	0.593652	-0.0969877	0.482855	0.907567	5955	511	1882.47	0.232804	0.629485	1.26213	0.367516	4.33445	0.711508	0.355754	0.0155619	0.386718	1.01568	0.475968	2.1674	0.0402408	0.967901	0.483951	0.483951	0.191301	0.661836	0	False	False	False	False
SECONDARY_C_nonsig2_exploratory	C	DEL	pfc_astro	SECONDARY_pattern_c	True	838	3583	2716.63	0.371774	0.300644	1.45031	0.216239		0.216239	0.385487	0.293061	1.47033	5955	511	1882.47	0.557368	0.509545	1.74607	0.643174	4.74019	0.274019	0.274019	0.4197	0.258933	1.52151	0.915937	2.52744	1.62089	0.105042	0.0525211	0.105042	0.0984082	0.753748	0	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	pfc_exc_dl	SECONDARY_pattern_c	True	838	3583	2716.63	0.401535	0.252148	1.49412	0.111282	0.0556409	0.0556409	0.424152	0.250863	1.52829	5955	511	1882.47	1.05808	0.528386	2.88082	1.02269	8.11498	0.0452344	0.0226172	0.523314	0.227565	1.68761	1.08035	2.63621	2.29963	0.0214694	0.0107347	0.0107347	1.25755	0.262115	20.4804	False	True	False	False
SECONDARY_C_sig8_main	C	DEL	pfc_exc_ul	SECONDARY_pattern_c	True	838	3583	2716.63	0.0521802	0.263958	1.05357	0.843292	0.421646	0.421646	0.0659484	0.261359	1.06817	5955	511	1882.47	1.08704	0.620979	2.96547	0.878023	10.0157	0.0800285	0.0400143	0.210547	0.242923	1.23435	0.76676	1.9871	0.866724	0.386093	0.193047	0.193047	2.35221	0.125106	57.4868	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	pfc_inh_cge	SECONDARY_pattern_c	True	838	3583	2716.63	0.155433	0.274398	1.16816	0.571088	0.285544	0.285544	0.177425	0.27462	1.19414	5955	511	1882.47	0.372904	0.420816	1.45194	0.636421	3.3125	0.37554	0.18777	0.220313	0.22985	1.24647	0.794379	1.95584	0.958504	0.337809	0.168904	0.168904	0.18739	0.665098	0	False	False	False	False
SECONDARY_C_sig8_main	C	DEL	pfc_inh_mge	SECONDARY_pattern_c	True	838	3583	2716.63	0.195722	0.313992	1.21619	0.533066	0.266533	0.266533	0.211617	0.313189	1.23567	5955	511	1882.47	1.37086	0.692731	3.93873	1.01319	15.3116	0.0478251	0.0239125	0.396006	0.285985	1.48588	0.848297	2.60267	1.38471	0.166142	0.0830708	0.0830708	2.38726	0.122328	58.1109	False	False	False	False
NEGCTRL_STATIC_pattern_C	C	DEL	static_all	negative_control	False	838	3583	2716.63	-0.00227277	0.0170845	0.99773	0.894168		0.894168	-0.00376766	0.0169562	0.996239	5955	511	1882.47	0.0234449	0.0267096	1.02372	0.971508	1.07874	0.380068		0.00519426	0.0143921	1.00521	0.977248	1.03397	0.360909	0.718167	0.359084	0.718167	0.657923	0.417294	0	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_ca	negative_control	False	838	3583	2716.63	-0.0248261	0.225162	0.97548	0.912204		0.912204	-0.0156655	0.225136	0.984457	5955	511	1882.47	0.220898	0.283067	1.2472	0.716116	2.17213	0.435171		0.0703982	0.176214	1.07294	0.759587	1.51555	0.399505	0.689521	0.344761	0.689521	0.461536	0.496907	0	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_dg	negative_control	False	838	3583	2716.63	-0.206217	0.240626	0.813656	0.391444		0.391444	-0.243165	0.24218	0.784142	5955	511	1882.47	0.655468	0.356808	1.92604	0.957073	3.87603	0.0662049		0.0631613	0.199499	1.0652	0.720466	1.57488	0.316599	0.751548	0.375774	0.751548	4.00891	0.0452605	75.0555	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	hpc_exc_ent	negative_control	False	838	3583	2716.63	-0.0719065	0.196354	0.930618	0.714209		0.714209	-0.0850717	0.19645	0.918446	5955	511	1882.47	0.553686	0.254437	1.73965	1.05653	2.86447	0.029546		0.1616	0.155448	1.17539	0.866687	1.59405	1.03958	0.298535	0.149267	0.298535	3.78889	0.0515939	73.607	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	hpc_inh_cge	negative_control	True	838	3583	2716.63	0.0884778	0.230312	1.09251	0.700856		0.700856	0.0622253	0.229247	1.0642	5955	511	1882.47	0.176209	0.320855	1.19269	0.63593	2.23688	0.582878		0.11831	0.1871	1.12559	0.780043	1.62422	0.632334	0.527168	0.263584	0.527168	0.0493409	0.824214	0	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	hpc_inh_mge	negative_control	False	838	3583	2716.63	-0.221888	0.288277	0.801005	0.441475		0.441475	-0.240065	0.289863	0.786577	5955	511	1882.47	0.185007	0.363589	1.20323	0.590003	2.45381	0.610867		-0.0648311	0.225891	0.937226	0.601953	1.45924	-0.287002	0.774111	0.612945	0.774111	0.768988	0.38053	0	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	pfc_astro	negative_control	True	838	3583	2716.63	0.266407	0.191251	1.30527	0.163629		0.163629	0.270214	0.192099	1.31024	5955	511	1882.47	0.290156	0.311767	1.33664	0.72549	2.4626	0.352018		0.2729	0.163022	1.31377	0.954448	1.80836	1.67401	0.094128	0.047064	0.094128	0.00421613	0.948228	0	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	pfc_exc_dl	negative_control	False	838	3583	2716.63	-0.214674	0.184161	0.806804	0.243741		0.243741	-0.211102	0.184095	0.809691	5955	511	1882.47	0.613497	0.26493	1.84688	1.09882	3.10421	0.0205751		0.0551318	0.151216	1.05668	0.785645	1.42122	0.364591	0.715417	0.357708	0.715417	6.58834	0.0102649	84.8217	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	pfc_exc_ul	negative_control	False	838	3583	2716.63	-0.0918728	0.192328	0.912221	0.632872		0.632872	-0.083097	0.192579	0.920262	5955	511	1882.47	0.423785	0.249048	1.52773	0.937678	2.48909	0.0888261		0.100767	0.152221	1.10602	0.820709	1.49051	0.661977	0.507986	0.253993	0.507986	2.68548	0.101267	62.7627	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	pfc_inh_cge	negative_control	False	838	3583	2716.63	-0.0440291	0.183429	0.956926	0.810305		0.810305	-0.0606505	0.183724	0.941152	5955	511	1882.47	0.600661	0.26881	1.82332	1.07658	3.08802	0.0254491		0.16079	0.151515	1.17444	0.872686	1.58053	1.06122	0.288592	0.144296	0.288592	3.92451	0.047587	74.5191	False	False	False	False
NEGCTRL_DUP_pattern_C	C	DUP	pfc_inh_mge	negative_control	False	838	3583	2716.63	-0.0377349	0.182092	0.962968	0.83583		0.83583	-0.0673666	0.181865	0.934852	5955	511	1882.47	0.275575	0.249495	1.31729	0.807805	2.1481	0.269362		0.071154	0.147084	1.07375	0.804824	1.43253	0.483763	0.628554	0.314277	0.628554	1.02891	0.310416	2.80945	False	False	False	False
